stage,record,source_file,period_s,onset_shift_s,eligible_late_windows,median_late_A80_percentage_points,late_A80_CV_percent
Fabric,Grid80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.21,-0.1,48,5.63118870101033,10.592767829733152
Fabric,Grid80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.21,0.0,48,5.636742974943968,10.757395901581711
Fabric,Grid80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.21,0.1,48,5.660071700448996,10.962525895691993
Fabric,Rect80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.19,-0.1,50,4.154124070120744,13.868358914826743
Fabric,Rect80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.19,0.0,50,4.086555405090223,15.087884690271373
Fabric,Rect80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.19,0.1,50,3.9846053005482798,18.110938007319675
Fabric,Rect80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.2,-0.1,49,4.0639157900866,16.843940412491136
Fabric,Rect80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.2,0.0,50,4.0993029189011345,16.771395079500305
Fabric,Rect80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.2,0.1,49,3.972334479221761,15.506903375286251
Fabric,Rect80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.21,-0.1,48,3.866906679341703,17.021661008378125
Fabric,Rect80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.21,0.0,48,4.022713777906777,15.47828668281795
Fabric,Rect80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.21,0.1,48,3.97483803883053,15.182233456242674
Fabric,Rect80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.19,-0.1,50,6.935717067388818,13.423127680583034
Fabric,Rect80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.19,0.0,50,6.935717067388818,13.682423119816361
Fabric,Rect80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.19,0.1,50,6.809946927372018,14.18283156173904
Fabric,Rect80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.2,-0.1,49,6.87169526243577,14.71306919323758
Fabric,Rect80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.2,0.0,50,6.948320983486482,14.277579094308239
Fabric,Rect80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.2,0.1,49,6.965872466501621,10.603362115060786
Fabric,Rect80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.21,-0.1,48,6.948025557295503,10.666732322637777
Fabric,Rect80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.21,0.0,48,6.948025557295503,10.774610809462487
Fabric,Rect80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.21,0.1,48,6.9316167244361555,10.993134059022903
Fabric,Rect100_convex,Fabric_sensor_tests_Origin_simple.xlsx,1.19,-0.1,50,4.805138212836605,18.609321269755775
Fabric,Rect100_convex,Fabric_sensor_tests_Origin_simple.xlsx,1.19,0.0,50,4.740166947325335,19.222039438284078
Fabric,Rect100_convex,Fabric_sensor_tests_Origin_simple.xlsx,1.19,0.1,50,4.784800084977395,18.66601854765636
Fabric,Rect100_convex,Fabric_sensor_tests_Origin_simple.xlsx,1.2,-0.1,49,4.869036288983235,18.271778206926218
Fabric,Rect100_convex,Fabric_sensor_tests_Origin_simple.xlsx,1.2,0.0,50,4.8094130722122195,17.933020835966573
Fabric,Rect100_convex,Fabric_sensor_tests_Origin_simple.xlsx,1.2,0.1,49,4.869811299208312,17.194867344640137
Fabric,Rect100_convex,Fabric_sensor_tests_Origin_simple.xlsx,1.21,-0.1,48,4.880507009075419,17.51042607992462
Fabric,Rect100_convex,Fabric_sensor_tests_Origin_simple.xlsx,1.21,0.0,48,4.902423035534982,17.298189581222736
Fabric,Rect100_convex,Fabric_sensor_tests_Origin_simple.xlsx,1.21,0.1,48,4.88322114099536,17.396230834235933
Fabric,Rect100_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.19,-0.1,50,3.3818350431233366,73.74070256075507
Fabric,Rect100_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.19,0.0,50,3.3431107664936413,71.76456911250152
Fabric,Rect100_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.19,0.1,50,3.2839804539858033,72.0246606545373
Fabric,Rect100_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.2,-0.1,49,3.436355633728212,73.70298845738846
Fabric,Rect100_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.2,0.0,50,3.3981383284997335,73.03565813359153
Fabric,Rect100_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.2,0.1,49,3.419575789046391,71.7097462425546
Fabric,Rect100_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.21,-0.1,48,3.6157016632458134,74.13477658317288
Fabric,Rect100_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.21,0.0,48,3.6046227226645495,74.22331737805203
Fabric,Rect100_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.21,0.1,48,3.4247190991543626,73.52715378039312
