start_s,end_s,displacement_mm,duration_s,sample,cycle,phase,alignment_offset_s,R_median_ohm,R_MAD_ohm,plateau_observations,dR_R0_pct,robust_noise_pct_R
413.421,423.365,2.5,9.944000000000017,3,3,Unloading,17.900000000000002,4334.745763,15.08848850000004,60,0.29890948368552717,0.516067014611211
424.496,434.432,2.0,9.936000000000035,3,3,Unloading,17.900000000000002,4332.590273,10.792080000000169,60,0.2490349793378083,0.3693018910122141
435.563,445.503,1.5,9.939999999999998,3,3,Unloading,17.900000000000002,4308.952703,8.559001999999964,60,-0.2978996330864884,0.2944932850241115
446.633,456.573,1.0,9.939999999999998,3,3,Unloading,17.900000000000002,4291.853933,8.53976799999964,60,-0.6935371348636181,0.2950021187685062
457.705,467.646,0.5,9.941000000000031,3,3,Unloading,17.900000000000002,4391.23506,13.110059999999976,60,1.6059791935083305,0.4426311661849403
468.578,508.535,0.1,39.95700000000005,3,3,Unloading,17.900000000000002,4352.038505,13.021052999999483,60,0.6990351794962094,0.4435855325181511
509.466,519.412,0.5,9.946000000000026,3,4,Loading,17.900000000000002,4441.908398,11.103650000000016,60,2.778477148216675,0.37061258393829727
520.543,530.482,1.0,9.938999999999965,3,4,Loading,17.900000000000002,4380.3075255,26.175730499999645,60,1.3531339625260228,0.8859683438520592
531.613,541.548,1.5,9.934999999999945,3,4,Loading,17.900000000000002,4430.83524,13.24529100000018,60,2.522262428216158,0.44320015015047737
542.679,552.623,2.0,9.944000000000074,3,4,Loading,17.900000000000002,4345.5451665,15.110383500000353,60,0.5487899734180255,0.5155315091373017
553.754,563.692,2.5,9.937999999999988,3,4,Loading,17.900000000000002,4395.615034,13.169905999999173,60,1.7073246102376614,0.4442086598705261
564.823,574.759,3.0,9.936000000000035,3,4,Loading,17.900000000000002,4386.860068,13.117546999999831,60,1.504749052090265,0.4433256333855723
575.889,585.829,2.5,9.93999999999994,3,4,Unloading,17.900000000000002,4245.226131,8.435131999999612,60,-1.7724280198009013,0.29458799878473246
586.96,596.899,2.0,9.938999999999965,3,4,Unloading,17.900000000000002,4270.588235,12.702328999999736,60,-1.185590518251263,0.44098077218160103
598.03,607.972,1.5,9.942000000000007,3,4,Unloading,17.900000000000002,4296.121417,21.289577999999892,60,-0.5947945522899067,0.7347075484854676
609.102,619.036,1.0,9.933999999999969,3,4,Unloading,17.900000000000002,4257.885906,12.659775000000081,60,-1.4795015839192145,0.44081459271962276
620.168,630.11,0.5,9.942000000000007,3,4,Unloading,17.900000000000002,4283.333333,21.337460000000647,60,-0.8906898480495714,0.7385584015205329
631.042,670.979,0.1,39.93700000000001,3,4,Unloading,17.900000000000002,4228.412256,12.582339999999931,60,-2.161473518406554,0.4411721505520085
671.91,681.839,0.5,9.929000000000087,3,5,Loading,17.900000000000002,4404.389966,13.19998300000043,60,1.9103621488877525,0.44433610436121485
682.97,692.909,1.0,9.938999999999965,3,5,Loading,17.900000000000002,4326.128668,12.932949000000008,60,0.09952403441776582,0.44322283637172694
694.04,703.983,1.5,9.942999999999984,3,5,Loading,17.900000000000002,4339.061617,17.234206000000086,60,0.39877126874930835,0.5888700385238186
705.114,715.054,2.0,9.93999999999994,3,5,Loading,17.900000000000002,4313.239437,12.889231000000109,61,-0.1987116370760607,0.4430445877099625
716.185,726.126,2.5,9.941000000000031,3,5,Loading,17.900000000000002,4304.670793,17.07955200000015,60,-0.39697600964658186,0.5882480917327658
727.257,737.194,3.0,9.937000000000012,3,5,Loading,17.900000000000002,4319.679207,17.176030999999966,60,-0.04970591825421873,0.5895156177184142
738.324,748.261,2.5,9.937000000000012,3,5,Unloading,17.900000000000002,4264.2323305,23.21670549999999,60,-1.3326557269132981,0.8072047887283843
749.392,759.331,2.0,9.938999999999965,3,5,Unloading,17.900000000000002,4236.809816,12.589326000000256,60,-1.967167749077897,0.44054218948213414
760.462,770.402,1.5,9.940000000000055,3,5,Unloading,17.900000000000002,4276.9560205,19.070114499999363,60,-1.0382504027299395,0.6610624851455391
771.532,781.476,1.0,9.94399999999996,3,5,Unloading,17.900000000000002,4238.9127205,12.61042550000002,60,-1.9185099869782787,0.44106161365112323
782.608,792.538,0.5,9.930000000000064,3,5,Unloading,17.900000000000002,4279.080202,21.313498999999865,60,-0.9891003257371888,0.738462289223524
793.47,821.999,0.1,28.528999999999996,3,5,Unloading,17.900000000000002,4245.226131,8.435131999999612,60,-1.7724280198009013,0.29458799878473246
22.103,32.039,0.5,9.936,4,1,Loading,43.6,6676.7455455,47.87768950000009,60,7.34485768000911,1.0631446408878293
33.17,43.113,1.0,9.942999999999998,4,1,Loading,43.6,6411.4637045,52.064133500000025,60,3.0798094955042314,1.203941687651178
44.244,54.199,1.5,9.954999999999998,4,1,Loading,43.6,6352.5,54.84375,60,2.131825118279531,1.2799896694214876
